IP,RTT1,RTT2,RTT3,Domain Name,Date,Hop Number,Run Number,AS Number,AS Name
172.20.10.1,3.201ms,3.993ms,2.315ms,www.payments.pitt.edu,24-Nov,2,2,NA,NA
107.243.2.7,51.717ms,*,63.351ms,www.payments.pitt.edu,24-Nov,3,2,NA,NA
173.241.128.29,*,88.107ms,46.027ms,www.payments.pitt.edu,24-Nov,9,2,,
89.149.136.181,76.253ms,*,*,www.payments.pitt.edu,24-Nov,10,2,3257,"GTT-BACKBONE GTT, US"
208.116.221.142,98.415ms,51.381ms,65.290ms,www.payments.pitt.edu,24-Nov,11,2,3257,"GTT-BACKBONE GTT, US"
64.58.254.229,63.303ms,*,*,www.payments.pitt.edu,24-Nov,12,2,33154,"DQECOM, US"
64.58.254.49,390.645ms,*,*,www.payments.pitt.edu,24-Nov,13,2,33154,"DQECOM, US"
136.142.2.162,71.612ms,50.349ms,59.910ms,www.payments.pitt.edu,24-Nov,15,2,4130,"UPITT-AS, US"
136.142.253.237,54.207ms,53.180ms,59.805ms,www.payments.pitt.edu,24-Nov,16,2,4130,"UPITT-AS, US"
136.142.156.140,70.830ms,60.843ms,46.025ms,www.payments.pitt.edu,24-Nov,17,2,4130,"UPITT-AS, US"
172.31.160.1,0.279ms,0.247ms,0.210ms,www.payments.pitt.edu,24-Nov,1,3,NA,NA
172.20.10.1,6.280ms,3.084ms,3.622ms,www.payments.pitt.edu,24-Nov,2,3,NA,NA
107.243.2.135,52.124ms,*,32.980ms,www.payments.pitt.edu,24-Nov,3,3,NA,NA
173.241.128.29,87.403ms,*,90.442ms,www.payments.pitt.edu,24-Nov,9,3,3257,"GTT-BACKBONE GTT, US"
89.149.136.181,65.489ms,57.115ms,67.140ms,www.payments.pitt.edu,24-Nov,10,3,3257,"GTT-BACKBONE GTT, US"
208.116.221.142,55.246ms,55.422ms,57.380ms,www.payments.pitt.edu,24-Nov,11,3,3257,"GTT-BACKBONE GTT, US"
64.58.254.229,57.900ms,78.956ms,66.769ms,www.payments.pitt.edu,24-Nov,12,3,33154,"DQECOM, US"
64.58.254.49,57.306ms,75.407ms,55.178ms,www.payments.pitt.edu,24-Nov,13,3,33154,"DQECOM, US"
208.103.114.14,54.469ms,58.632ms,57.351ms,www.payments.pitt.edu,24-Nov,14,3,33154,"DQECOM, US"
136.142.2.162,54.484ms,59.601ms,55.159ms,www.payments.pitt.edu,24-Nov,15,3,4130,"UPITT-AS, US"
136.142.253.237,56.044ms,290.060ms,206.006ms,www.payments.pitt.edu,24-Nov,16,3,4130,"UPITT-AS, US"
136.142.156.140,61.044ms,51.413ms,82.688ms,www.payments.pitt.edu,24-Nov,17,3,4130,"UPITT-AS, US"
172.31.160.1,0.325ms,0.161ms,0.154ms,www.payments.pitt.edu,24-Nov,1,4,NA,NA
172.20.10.1,4.390ms,2.498ms,2.375ms,www.payments.pitt.edu,24-Nov,2,4,NA,NA
107.243.2.135,43.866ms,*,63.413ms,www.payments.pitt.edu,24-Nov,3,4,NA,NA
173.241.128.29,*,64.527ms,*,www.payments.pitt.edu,24-Nov,9,4,,
89.149.136.181,87.670ms,58.242ms,50.273ms,www.payments.pitt.edu,24-Nov,10,4,3257,"GTT-BACKBONE GTT, US"
208.116.221.142,58.704ms,63.224ms,55.159ms,www.payments.pitt.edu,24-Nov,11,4,3257,"GTT-BACKBONE GTT, US"
64.58.254.229,59.411ms,60.913ms,55.110ms,www.payments.pitt.edu,24-Nov,12,4,33154,"DQECOM, US"
64.58.254.49,52.504ms,70.224ms,59.343ms,www.payments.pitt.edu,24-Nov,13,4,33154,"DQECOM, US"
136.142.2.162,69.119ms,100.303ms,47.511ms,www.payments.pitt.edu,24-Nov,15,4,4130,"UPITT-AS, US"
136.142.253.237,72.921ms,72.976ms,57.860ms,www.payments.pitt.edu,24-Nov,16,4,4130,"UPITT-AS, US"
136.142.156.140,74.500ms,79.106ms,66.156ms,www.payments.pitt.edu,24-Nov,17,4,4130,"UPITT-AS, US"
172.31.160.1,0.557ms,0.430ms,0.300ms,www.payments.pitt.edu,24-Nov,1,5,NA,NA
172.20.10.1,2.445ms,2.370ms,2.417ms,www.payments.pitt.edu,24-Nov,2,5,NA,NA
107.243.2.7,34.201ms,*,53.629ms,www.payments.pitt.edu,24-Nov,3,5,NA,NA
173.241.128.29,47.726ms,50.686ms,42.988ms,www.payments.pitt.edu,24-Nov,9,5,3257,"GTT-BACKBONE GTT, US"
89.149.136.181,80.011ms,75.816ms,70.507ms,www.payments.pitt.edu,24-Nov,10,5,3257,"GTT-BACKBONE GTT, US"
208.116.221.142,59.807ms,57.105ms,50.627ms,www.payments.pitt.edu,24-Nov,11,5,3257,"GTT-BACKBONE GTT, US"
64.58.254.229,51.969ms,53.695ms,53.433ms,www.payments.pitt.edu,24-Nov,12,5,33154,"DQECOM, US"
64.58.254.49,51.084ms,52.241ms,1331.284ms,www.payments.pitt.edu,24-Nov,13,5,33154,"DQECOM, US"
